[60.596, 216.742, 0.0]
[60.626, 216.712, 1.0]
[89.598, 216.742, 0.0]
[60.626, 216.712, 1.0]
[89.568, 216.712, 1.0]
[89.598, 216.742, 0.0]
[89.598, 216.742, 0.0]
[89.568, 216.712, 1.0]
[89.598, 213.736, 0.0]
[89.568, 216.712, 1.0]
[89.568, 213.766, 1.0]
[89.598, 213.736, 0.0]
[89.568, 213.766, 1.0]
[88.065, 213.736, 0.0]
[89.598, 213.736, 0.0]
[88.064, 213.766, 1.0]
[88.065, 213.736, 0.0]
[89.568, 213.766, 1.0]
[88.064, 213.766, 1.0]
[86.932, 213.702, 0.0]
[88.065, 213.736, 0.0]
[86.931, 213.732, 1.0]
[86.932, 213.702, 0.0]
[88.064, 213.766, 1.0]
[86.931, 213.732, 1.0]
[86.908, 213.701, 0.0]
[86.932, 213.702, 0.0]
[86.906, 213.731, 1.0]
[86.908, 213.701, 0.0]
[86.931, 213.732, 1.0]
[86.906, 213.731, 1.0]
[86.863, 213.697, 0.0]
[86.908, 213.701, 0.0]
[86.859, 213.727, 1.0]
[86.863, 213.697, 0.0]
[86.906, 213.731, 1.0]
[86.859, 213.727, 1.0]
[85.824, 213.594, 0.0]
[86.863, 213.697, 0.0]
[85.82, 213.624, 1.0]
[85.824, 213.594, 0.0]
[86.859, 213.727, 1.0]
[85.82, 213.624, 1.0]
[85.79, 213.59, 0.0]
[85.824, 213.594, 0.0]
[85.786, 213.62, 1.0]
[85.79, 213.59, 0.0]
[85.82, 213.624, 1.0]
[85.786, 213.62, 1.0]
[85.741, 213.613, 1.0]
[85.79, 213.59, 0.0]
[85.79, 213.59, 0.0]
[85.741, 213.613, 1.0]
[85.746, 213.583, 0.0]
[85.741, 213.613, 1.0]
[84.801, 213.413, 0.0]
[85.746, 213.583, 0.0]
[84.795, 213.442, 1.0]
[84.801, 213.413, 0.0]
[85.741, 213.613, 1.0]
[84.795, 213.442, 1.0]
[84.752, 213.403, 0.0]
[84.801, 213.413, 0.0]
[84.745, 213.432, 1.0]
[84.752, 213.403, 0.0]
[84.795, 213.442, 1.0]
[84.745, 213.432, 1.0]
[84.708, 213.392, 0.0]
[84.752, 213.403, 0.0]
[84.7, 213.421, 1.0]
[84.708, 213.392, 0.0]
[84.745, 213.432, 1.0]
[84.7, 213.421, 1.0]
[83.858, 213.154, 0.0]
[84.708, 213.392, 0.0]
[83.849, 213.183, 1.0]
[83.858, 213.154, 0.0]
[84.7, 213.421, 1.0]
[83.849, 213.183, 1.0]
[83.798, 213.135, 0.0]
[83.858, 213.154, 0.0]
[83.788, 213.163, 1.0]
[83.798, 213.135, 0.0]
[83.849, 213.183, 1.0]
[83.788, 213.163, 1.0]
[83.756, 213.119, 0.0]
[83.798, 213.135, 0.0]
[83.744, 213.147, 1.0]
[83.756, 213.119, 0.0]
[83.788, 213.163, 1.0]
[83.744, 213.147, 1.0]
[82.998, 212.815, 0.0]
[83.756, 213.119, 0.0]
[82.986, 212.843, 1.0]
[82.998, 212.815, 0.0]
[83.744, 213.147, 1.0]
[82.986, 212.843, 1.0]
[82.962, 212.8, 0.0]
[82.998, 212.815, 0.0]
[82.95, 212.827, 1.0]
[82.962, 212.8, 0.0]
[82.986, 212.843, 1.0]
[82.95, 212.827, 1.0]
[82.922, 212.781, 0.0]
[82.962, 212.8, 0.0]
[82.908, 212.808, 1.0]
[82.922, 212.781, 0.0]
[82.95, 212.827, 1.0]
[82.908, 212.808, 1.0]
[82.882, 212.76, 0.0]
[82.922, 212.781, 0.0]
[82.867, 212.786, 1.0]
[82.882, 212.76, 0.0]
[82.908, 212.808, 1.0]
[82.867, 212.786, 1.0]
[82.218, 212.389, 0.0]
[82.882, 212.76, 0.0]
[82.203, 212.415, 1.0]
[82.218, 212.389, 0.0]
[82.867, 212.786, 1.0]
[82.203, 212.415, 1.0]
[82.156, 212.386, 1.0]
[82.218, 212.389, 0.0]
[82.218, 212.389, 0.0]
[82.156, 212.386, 1.0]
[82.172, 212.361, 0.0]
[82.156, 212.386, 1.0]
[82.134, 212.336, 0.0]
[82.172, 212.361, 0.0]
[82.117, 212.361, 1.0]
[82.134, 212.336, 0.0]
[82.156, 212.386, 1.0]
[82.117, 212.361, 1.0]
[82.08, 212.334, 1.0]
[82.134, 212.336, 0.0]
[82.134, 212.336, 0.0]
[82.08, 212.334, 1.0]
[82.098, 212.31, 0.0]
[82.08, 212.334, 1.0]
[81.509, 211.897, 1.0]
[82.098, 212.31, 0.0]
[81.509, 211.897, 1.0]
[81.527, 211.873, 0.0]
[82.098, 212.31, 0.0]
[81.509, 211.897, 1.0]
[81.509, 211.859, 0.0]
[81.527, 211.873, 0.0]
[81.49, 211.882, 1.0]
[81.509, 211.859, 0.0]
[81.509, 211.897, 1.0]
[81.49, 211.882, 1.0]
[81.475, 211.83, 0.0]
[81.509, 211.859, 0.0]
[81.455, 211.852, 1.0]
[81.475, 211.83, 0.0]
[81.49, 211.882, 1.0]
[81.455, 211.852, 1.0]
[81.442, 211.8, 0.0]
[81.475, 211.83, 0.0]
[81.421, 211.822, 1.0]
[81.442, 211.8, 0.0]
[81.455, 211.852, 1.0]
[81.421, 211.822, 1.0]
[81.41, 211.768, 0.0]
[81.442, 211.8, 0.0]
[81.388, 211.789, 1.0]
[81.41, 211.768, 0.0]
[81.421, 211.822, 1.0]
[81.388, 211.789, 1.0]
[80.932, 211.265, 0.0]
[81.41, 211.768, 0.0]
[80.91, 211.285, 1.0]
[80.932, 211.265, 0.0]
[81.388, 211.789, 1.0]
[80.91, 211.285, 1.0]
[80.912, 211.243, 0.0]
[80.932, 211.265, 0.0]
[80.91, 211.285, 1.0]
[80.889, 211.262, 1.0]
[80.912, 211.243, 0.0]
[80.889, 211.262, 1.0]
[80.883, 211.209, 0.0]
[80.912, 211.243, 0.0]
[80.86, 211.228, 1.0]
[80.883, 211.209, 0.0]
[80.889, 211.262, 1.0]
[80.86, 211.228, 1.0]
[80.855, 211.174, 0.0]
[80.883, 211.209, 0.0]
[80.831, 211.192, 1.0]
[80.855, 211.174, 0.0]
[80.86, 211.228, 1.0]
[80.831, 211.192, 1.0]
[80.804, 211.154, 1.0]
[80.855, 211.174, 0.0]
[80.855, 211.174, 0.0]
[80.804, 211.154, 1.0]
[80.829, 211.137, 0.0]
[80.804, 211.154, 1.0]
[80.444, 210.569, 0.0]
[80.829, 211.137, 0.0]
[80.419, 210.585, 1.0]
[80.444, 210.569, 0.0]
[80.804, 211.154, 1.0]
[80.419, 210.585, 1.0]
[80.429, 210.546, 0.0]
[80.444, 210.569, 0.0]
[80.419, 210.585, 1.0]
[80.403, 210.562, 1.0]
[80.429, 210.546, 0.0]
[80.403, 210.562, 1.0]
[80.406, 210.507, 0.0]
[80.429, 210.546, 0.0]
[80.403, 210.562, 1.0]
[80.357, 210.482, 1.0]
[80.406, 210.507, 0.0]
[80.406, 210.507, 0.0]
[80.357, 210.482, 1.0]
[80.384, 210.468, 0.0]
[80.357, 210.482, 1.0]
[80.338, 210.441, 1.0]
[80.384, 210.468, 0.0]
[80.338, 210.441, 1.0]
[80.365, 210.428, 0.0]
[80.384, 210.468, 0.0]
[80.338, 210.441, 1.0]
[80.045, 209.808, 1.0]
[80.365, 210.428, 0.0]
[80.045, 209.808, 1.0]
[80.072, 209.795, 0.0]
[80.365, 210.428, 0.0]
[80.045, 209.808, 1.0]
[80.055, 209.758, 0.0]
[80.072, 209.795, 0.0]
[80.045, 209.808, 1.0]
[80.027, 209.769, 1.0]
[80.055, 209.758, 0.0]
[80.027, 209.769, 1.0]
[80.039, 209.716, 0.0]
[80.055, 209.758, 0.0]
[80.027, 209.769, 1.0]
[80.011, 209.726, 1.0]
[80.039, 209.716, 0.0]
[80.011, 209.726, 1.0]
[79.794, 209.041, 0.0]
[80.039, 209.716, 0.0]
[79.766, 209.051, 1.0]
[79.794, 209.041, 0.0]
[80.011, 209.726, 1.0]
[79.766, 209.051, 1.0]
[79.783, 209.009, 0.0]
[79.794, 209.041, 0.0]
[79.766, 209.051, 1.0]
[79.754, 209.018, 1.0]
[79.783, 209.009, 0.0]
[79.754, 209.018, 1.0]
[79.564, 208.336, 0.0]
[79.783, 209.009, 0.0]
[79.535, 208.345, 1.0]
[79.564, 208.336, 0.0]
[79.754, 209.018, 1.0]
